2023-11-26 04:35:06,916 INFO    MainThread:23692 [wandb_setup.py:_flush():76] Current SDK version is 0.16.0
2023-11-26 04:35:06,917 INFO    MainThread:23692 [wandb_setup.py:_flush():76] Configure stats pid to 23692
2023-11-26 04:35:06,917 INFO    MainThread:23692 [wandb_setup.py:_flush():76] Loading settings from /Users/divyamyadav/.config/wandb/settings
2023-11-26 04:35:06,917 INFO    MainThread:23692 [wandb_setup.py:_flush():76] Loading settings from /Users/divyamyadav/Desktop/Learning/ml/env/learning_microstructure_evolution/wandb/settings
2023-11-26 04:35:06,917 INFO    MainThread:23692 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-11-26 04:35:06,917 INFO    MainThread:23692 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-11-26 04:35:06,917 INFO    MainThread:23692 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'ms_model_train.py', 'program_abspath': '/Users/divyamyadav/Desktop/Learning/ml/env/learning_microstructure_evolution/ms_model_train.py', 'program': '/Users/divyamyadav/Desktop/Learning/ml/env/learning_microstructure_evolution/ms_model_train.py'}
2023-11-26 04:35:06,917 INFO    MainThread:23692 [wandb_init.py:_log_setup():524] Logging user logs to /Users/divyamyadav/Desktop/Learning/ml/env/learning_microstructure_evolution/wandb/run-20231126_043506-jro218ou/logs/debug.log
2023-11-26 04:35:06,918 INFO    MainThread:23692 [wandb_init.py:_log_setup():525] Logging internal logs to /Users/divyamyadav/Desktop/Learning/ml/env/learning_microstructure_evolution/wandb/run-20231126_043506-jro218ou/logs/debug-internal.log
2023-11-26 04:35:06,918 INFO    MainThread:23692 [wandb_init.py:init():564] calling init triggers
2023-11-26 04:35:06,918 INFO    MainThread:23692 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'epochs': 5, 'batch_size': 1, 'learning_rate': 0.001, 'model_order': 3, 'model_steps': 3, 'model_rank': 8, 'kernel': 3, 'total_frames': 8}
2023-11-26 04:35:06,918 INFO    MainThread:23692 [wandb_init.py:init():614] starting backend
2023-11-26 04:35:06,918 INFO    MainThread:23692 [wandb_init.py:init():618] setting up manager
2023-11-26 04:35:06,923 INFO    MainThread:23692 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-11-26 04:35:06,925 INFO    MainThread:23692 [wandb_init.py:init():624] backend started and connected
2023-11-26 04:35:06,934 INFO    MainThread:23692 [wandb_init.py:init():716] updated telemetry
2023-11-26 04:35:06,958 INFO    MainThread:23692 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2023-11-26 04:35:07,764 INFO    MainThread:23692 [wandb_run.py:_on_init():2254] communicating current version
2023-11-26 04:35:08,134 INFO    MainThread:23692 [wandb_run.py:_on_init():2263] got version response 
2023-11-26 04:35:08,134 INFO    MainThread:23692 [wandb_init.py:init():800] starting run threads in backend
2023-11-26 04:35:08,183 INFO    MainThread:23692 [wandb_run.py:_console_start():2233] atexit reg
2023-11-26 04:35:08,183 INFO    MainThread:23692 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2023-11-26 04:35:08,183 INFO    MainThread:23692 [wandb_run.py:_redirect():2153] Wrapping output streams.
2023-11-26 04:35:08,183 INFO    MainThread:23692 [wandb_run.py:_redirect():2178] Redirects installed.
2023-11-26 04:35:08,183 INFO    MainThread:23692 [wandb_init.py:init():841] run started, returning control to user process
2023-11-26 04:35:08,510 INFO    MainThread:23692 [wandb_watch.py:watch():51] Watching
